#Mapping file for Veto PMT in WP Sphere and Bottom PMTs.
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20241223.
#A total of 2399 PMTs were actually installed in Sphere and 5 PMTs were installed in Bottom , more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F.
#CopyNo, SphereOrWall(0=Sphere 1=Wall), NorthOrSouth(0=North 1=South), LayerNo, WindowNo, PositionNo, PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), LargeOrSmall(0=Large 1=Small), GCU, Channel(0-2), X, Y, Z, Theta, Phi
50227,0,0,7,12,1,2,0,2228,1,7733.241,-8588.57,16961.85,34.2689,-47.9998
50228,0,0,7,12,2,2,0,1357,0,8460.215,-9395.95,16159.16,38.041,-47.9998
50229,0,0,7,13,1,2,0,4322,1,9235.585,-6957.26,16958.88,34.2868,-36.9911
50230,0,0,7,13,2,2,0,4322,2,10228.84,-7431.68,16159.16,38.041,-36.0
50231,0,0,7,14,1,2,0,2026,1,10557.95,-4700.65,16961.85,34.2689,-23.9998
50232,0,0,7,14,2,2,0,7162,0,11550.47,-5142.54,16159.16,38.041,-23.9997
50233,0,0,7,15,1,2,0,7491,1,11304.56,-2402.81,16961.85,34.2689,-11.9998
50234,0,0,7,15,2,2,0,7517,0,12367.26,-2628.69,16159.16,38.041,-11.9998
50235,0,0,7,16,1,2,0,7275,1,11557.1,0.0453,16961.85,34.2689,0.0002
50236,0,0,7,16,2,2,0,7339,0,12643.54,0.0494,16159.16,38.041,0.0002
50237,0,0,7,17,1,2,0,1166,1,11304.54,2402.9,16961.85,34.2689,12.0002
50238,0,0,7,17,2,2,0,1002,0,12367.24,2628.788,16159.16,38.041,12.0002
50239,0,0,7,18,1,2,0,4739,1,10557.92,4700.736,16961.85,34.2689,24.0002
50240,0,0,7,18,2,2,0,0730,0,11550.43,5142.635,16159.16,38.041,24.0002
50241,0,0,7,19,1,2,0,3936,1,9470.699,6633.652,16958.88,34.2868,35.0089
50242,0,0,7,19,2,2,0,3936,2,10228.84,7431.685,16159.16,38.041,36.0
50243,0,0,7,20,1,2,0,3025,1,7733.174,8588.627,16961.85,34.2689,48.0002
50244,0,0,7,20,2,2,0,2159,0,8460.141,9396.013,16159.16,38.041,48.0002
50245,0,0,7,21,1,2,0,2419,1,5778.509,10008.76,16961.85,34.2689,60.0002
50246,0,0,7,21,2,2,0,2336,0,6321.726,10949.65,16159.16,38.041,60.0002
50247,0,0,7,22,1,2,0,2347,1,3571.296,10991.47,16961.85,34.2689,72.0002
50248,0,0,7,22,2,2,0,7683,0,3907.021,12024.73,16159.16,38.041,72.0002
50249,0,0,7,23,1,2,0,7611,1,1208.001,11493.79,16961.85,34.2689,84.0002
50250,0,0,7,23,2,2,0,7627,0,1321.56,12574.28,16159.16,38.041,84.0002
50251,0,0,7,24,1,2,0,2880,1,-1208.09,11493.78,16961.85,34.2689,96.0002
50252,0,0,7,24,2,2,0,7623,0,-1321.66,12574.27,16159.16,38.041,96.0002
