#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
204,0,0,55,15,0,2,5868,1,805.4056,-4481.34,18893.1,13.5496,-79.8113
205,0,0,55,16,0,1,5868,2,1329.775,-4354.63,18893.1,13.5496,-73.0189
206,0,0,55,17,0,2,6536,0,1835.476,-4166.78,18893.1,13.5496,-66.2264
207,0,0,55,18,0,1,6536,1,2315.412,-3920.45,18893.1,13.5496,-59.434
208,0,0,55,19,0,2,6536,2,2762.844,-3619.08,18893.1,13.5496,-52.6415
209,0,0,55,20,0,2,5849,2,3171.493,-3266.91,18893.1,13.5496,-45.8491
210,0,0,55,21,0,2,5849,1,3535.62,-2868.88,18893.1,13.5496,-39.0566
211,0,0,55,22,0,2,5849,0,3850.115,-2430.57,18893.1,13.5496,-32.2641
212,0,0,55,23,0,2,6497,0,4110.563,-1958.15,18893.1,13.5496,-25.4717
213,0,0,55,24,0,2,6497,1,4313.308,-1458.23,18893.1,13.5496,-18.6792
214,0,0,55,25,0,1,6497,2,4455.503,-937.849,18893.1,13.5496,-11.8868
215,0,0,55,26,0,2,4443,0,4535.152,-404.3,18893.1,13.5496,-5.0943
216,0,0,55,27,0,2,4443,1,4551.138,134.9242,18893.1,13.5496,1.6981
217,0,0,55,28,0,2,4443,2,4503.236,672.2548,18893.1,13.5496,8.4906
218,0,0,55,29,0,2,1137,2,4392.119,1200.148,18893.1,13.5496,15.283
219,0,0,55,30,0,2,1137,1,4219.346,1711.194,18893.1,13.5496,22.0755
220,0,0,55,31,0,2,1137,0,3987.342,2198.219,18893.1,13.5496,28.8679
221,0,0,55,32,0,1,4176,2,3699.365,2654.386,18893.1,13.5496,35.6604
222,0,0,55,33,0,2,4176,1,3359.457,3073.29,18893.1,13.5496,42.4528
223,0,0,55,34,0,1,4176,0,2972.389,3449.053,18893.1,13.5496,49.2453
224,0,0,55,35,0,2,3128,0,2543.596,3776.398,18893.1,13.5496,56.0377
225,0,0,55,36,0,2,3128,1,2079.096,4050.731,18893.1,13.5496,62.8302
226,0,0,55,37,0,2,3128,2,1585.41,4268.201,18893.1,13.5496,69.6226
227,0,0,55,38,0,2,5211,2,1069.468,4425.754,18893.1,13.5496,76.4151
228,0,0,55,39,0,1,5211,1,538.5138,4521.18,18893.1,13.5496,83.2076
229,0,0,55,40,0,2,5211,0,0.0,4553.138,18893.1,13.5496,90.0
230,0,0,55,41,0,1,3421,2,-538.514,4521.18,18893.1,13.5496,96.7925
231,0,0,55,42,0,2,3421,1,-1069.47,4425.754,18893.1,13.5496,103.5849
232,0,0,55,43,0,2,5459,2,-1585.41,4268.201,18893.1,13.5496,110.3774
233,0,0,55,44,0,2,5459,1,-2079.1,4050.732,18893.1,13.5496,117.1699
234,0,0,55,45,0,2,5459,0,-2543.6,3776.399,18893.1,13.5496,123.9623
235,0,0,55,46,0,1,5113,2,-2972.39,3449.053,18893.1,13.5496,130.7547
236,0,0,55,47,0,2,5113,1,-3359.46,3073.291,18893.1,13.5496,137.5472
237,0,0,55,48,0,1,5113,0,-3699.36,2654.386,18893.1,13.5496,144.3396
238,0,0,55,49,0,2,4411,0,-3987.34,2198.219,18893.1,13.5496,151.1321
239,0,0,55,50,0,2,4411,1,-4219.35,1711.195,18893.1,13.5496,157.9245
240,0,0,55,51,0,2,4411,2,-4392.12,1200.149,18893.1,13.5496,164.717
241,0,0,55,52,0,2,2952,2,-4503.24,672.2551,18893.1,13.5496,171.5094
242,0,0,55,53,0,2,2952,1,-4551.14,134.9244,18893.1,13.5496,178.3019
243,0,0,54,1,0,1,3789,2,-5067.73,-134.953,18761.14,15.121,-178.4746
244,0,0,54,2,0,2,3789,1,-5024.67,-672.856,18761.14,15.121,-172.3729
245,0,0,54,3,0,1,3789,0,-4924.69,-1203.13,18761.14,15.121,-166.2712
246,0,0,54,4,0,2,4695,0,-4768.9,-1719.78,18761.14,15.121,-160.1695
247,0,0,54,5,0,2,4695,1,-4559.09,-2216.94,18761.14,15.121,-154.0678
248,0,0,54,6,0,2,4695,2,-4297.61,-2688.98,18761.14,15.121,-147.9661
249,0,0,54,7,0,2,4801,2,-3987.44,-3130.56,18761.14,15.121,-141.8644
250,0,0,54,8,0,2,4801,1,-3632.1,-3536.66,18761.14,15.121,-135.7628
251,0,0,54,9,0,2,4801,0,-3235.6,-3902.69,18761.14,15.121,-129.6611
252,0,0,54,10,0,2,4547,0,-2802.43,-4224.51,18761.14,15.121,-123.5593
253,0,0,54,11,0,2,4547,1,-2337.52,-4498.45,18761.14,15.121,-117.4576
254,0,0,54,12,0,2,4547,2,-1846.12,-4721.43,18761.14,15.121,-111.3559
255,0,0,54,13,0,2,6407,2,-1333.81,-4890.92,18761.14,15.121,-105.2543
256,0,0,54,14,0,2,6407,1,-806.376,-5004.98,18761.14,15.121,-99.1525
257,0,0,54,15,0,2,6407,0,-269.811,-5062.34,18761.14,15.121,-93.0508
258,0,0,54,16,0,2,3063,0,269.8113,-5062.34,18761.14,15.121,-86.9492
259,0,0,54,17,0,2,3063,1,806.3765,-5004.98,18761.14,15.121,-80.8475
260,0,0,54,18,0,2,3063,2,1333.805,-4890.92,18761.14,15.121,-74.7458
261,0,0,54,19,0,2,4374,2,1846.121,-4721.43,18761.14,15.121,-68.6441
262,0,0,54,20,0,2,4374,1,2337.52,-4498.45,18761.14,15.121,-62.5424
263,0,0,54,21,0,2,4374,0,2802.434,-4224.51,18761.14,15.121,-56.4407
264,0,0,54,22,0,2,3728,0,3235.595,-3902.69,18761.14,15.121,-50.339
265,0,0,54,23,0,2,3728,1,3632.096,-3536.66,18761.14,15.121,-44.2373
